"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"426",1,13339.00,0.04348,0.020307,0.017404,0.10860
"427",1,13339.00,0.04353,0.020332,0.017426,0.10874
"428",1,13342.00,0.04358,0.020357,0.017449,0.10887
"429",1,13342.00,0.04364,0.020382,0.017471,0.10901
"430",1,13343.00,0.04370,0.020407,0.017494,0.10914
"431",1,13344.00,0.04375,0.020432,0.017516,0.10927
"432",1,13348.00,0.04381,0.020457,0.017539,0.10941
"433",1,13349.00,0.04386,0.020483,0.017562,0.10954
"434",1,13355.00,0.04392,0.020508,0.017584,0.10968
"435",1,13358.00,0.04397,0.020533,0.017607,0.10981
"436",1,13358.00,0.04403,0.020558,0.017630,0.10995
"437",1,13358.00,0.04408,0.020583,0.017652,0.11008
"438",1,13359.00,0.04414,0.020608,0.017675,0.11022
"439",1,13360.00,0.04419,0.020632,0.017697,0.11035
"440",1,13360.00,0.04425,0.020658,0.017719,0.11048
"441",1,13366.00,0.04430,0.020682,0.017742,0.11061
"442",1,13373.00,0.04436,0.020707,0.017764,0.11075
"443",1,13375.00,0.04441,0.020732,0.017787,0.11088
"444",1,13376.00,0.04447,0.020757,0.017810,0.11102
"445",1,13378.00,0.04452,0.020783,0.017832,0.11115
"446",1,13379.00,0.04458,0.020808,0.017855,0.11129
"447",1,13380.00,0.04463,0.020833,0.017878,0.11142
"448",1,13381.00,0.04469,0.020858,0.017900,0.11156
"449",1,13385.00,0.04474,0.020883,0.017923,0.11169
"450",1,13389.00,0.04480,0.020908,0.017945,0.11182
"451",1,13391.00,0.04485,0.020933,0.017968,0.11196
"452",1,13398.00,0.04491,0.020958,0.017990,0.11209
"453",1,13405.00,0.04496,0.020983,0.018013,0.11222
"454",1,13407.00,0.04501,0.021007,0.018035,0.11236
"455",1,13409.00,0.04507,0.021032,0.018057,0.11249
"456",1,13412.00,0.04512,0.021056,0.018079,0.11262
"457",1,13416.00,0.04518,0.021080,0.018101,0.11275
"458",1,13416.00,0.04523,0.021104,0.018122,0.11288
"459",1,13418.00,0.04528,0.021128,0.018144,0.11300
"460",1,13422.00,0.04533,0.021152,0.018166,0.11313
